party_name,candidate_name,candidate_id,deputy_name,has_details,detail_url
MOVIMIENTO CIUDADANO,GUSTAVO ZARCO SANCHEZ,10229,SALVADOR ENRIQUE HERNANDEZ HERNANDEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10229
MOVIMIENTO CIUDADANO,JOSEF PATRICIA PONCE DE LEON CASALES,10347,VICTORIA CASTILLO HUESCA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10347
MOVIMIENTO CIUDADANO,MICHEL REYNA BLANCO,10231,LUIS DAMIAN UREÑA DE LA O,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10231
MOVIMIENTO CIUDADANO,LETICIA HERNANDEZ SALMERON,10441,NASHELLY CONTRERAS OROZCO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10441
MOVIMIENTO CIUDADANO,RODOLFO HERNANDEZ MIRANDA,10579,ERNESTO LUNA GUTIERREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10579
MOVIMIENTO CIUDADANO,CONNIE ROSANELY ALAVEZ LUNA,10453,ARACELI MONTAÑO ROMO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10453
MOVIMIENTO CIUDADANO,JUAN CARLOS HERNANDEZ AGUILAR,10591,ROMAN MASCOTA RAMIREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10591
MOVIMIENTO CIUDADANO,JASMIN ROCHA ALARCON,10457,NORMA ESCALONA DEL VALLE,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10457
MOVIMIENTO CIUDADANO,ANGEL JAVIER OCAMPO ZAVALETA,10681,OSCAR ARISTA PALACIOS,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10681
MOVIMIENTO CIUDADANO,CRUZ ERLYN LOPEZ RIVAS,10461,CINTHIA ZARASUADI LOPEZ AGUILAR,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10461
MOVIMIENTO CIUDADANO,GERARDO GIL CORDOVA,10469,SANTOS JIMENEZ HERNANDEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10469
MOVIMIENTO CIUDADANO,MARTHA JURADO MANCERA,10475,LIDIA PAOLA AGUILAR GOMEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10475
MOVIMIENTO CIUDADANO,JOSE IVAN RESENDIZ CABANZO,10479,FELIPE BECERRIL LLANOS,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10479
